Home \ Away[1]	ARS	AST	CAR	CHE	CPA	EVE	FUL	HUL	LIV	MNC	MNU	NEW	NOR	SOT	STO	SUN	SWA	TOT	WBA	WHU
Arsenal		1-3	2-0	0-0	2-0	1-1	2-0	2-0	2-0	1-1	0-0	3-0	4-1	2-0	3-1	4-1	2-2	1-0	1-0	3-1
Aston Villa	1-2		2-0	1-0	0-1	0-2	1-2	3-1	0-1	3-2	0-3	1-2	4-1	0-0	1-4	0-0	1-1	0-2	4-3	0-2
Cardiff City	0-3	0-0		1-2	0-3	0-0	3-1	0-4	3-6	3-2	2-2	1-2	2-1	0-3	1-1	2-2	1-0	0-1	1-0	0-2
Chelsea	6-0	2-1	4-1		2-1	1-0	2-0	2-0	2-1	2-1	3-1	3-0	0-0	3-1	3-0	1-2	1-0	4-0	2-2	0-0
Crystal Palace	0-2	1-0	2-0	1-0		0-0	1-4	1-0	3-3	0-2	0-2	0-3	1-1	0-1	1-0	3-1	0-2	0-1	3-1	1-0
Everton	3-0	2-1	2-1	1-0	2-3		4-1	2-1	3-3	2-3	2-0	3-2	2-0	2-1	4-0	0-1	3-2	0-0	0-0	1-0
Fulham	1-3	2-0	1-2	1-3	2-2	1-3		2-2	2-3	2-4	1-3	1-0	1-0	0-3	1-0	1-4	1-2	1-2	1-1	2-1
Hull City	0-3	0-0	1-1	0-2	0-1	0-2	6-0		3-1	0-2	2-3	1-4	1-0	0-1	0-0	1-0	1-0	1-1	2-0	1-0
Liverpool	5-1	2-2	3-1	0-2	3-1	4-0	4-0	2-0		3-2	1-0	2-1	5-1	0-1	1-0	2-1	4-3	4-0	4-1	4-1
Manchester City	6-3	4-0	4-2	0-1	1-0	3-1	5-0	2-0	2-1		4-1	4-0	7-0	4-1	1-0	2-2	3-0	6-0	3-1	2-0
Manchester United	1-0	4-1	2-0	0-0	2-0	0-1	2-2	3-1	0-3	0-3		0-1	4-0	1-1	3-2	0-1	2-0	1-2	1-2	3-1
Newcastle United	0-1	1-0	3-0	2-0	1-0	0-3	1-0	2-3	2-2	0-2	0-4		2-1	1-1	5-1	0-3	1-2	0-4	2-1	0-0
Norwich City	0-2	0-1	0-0	1-3	1-0	2-2	1-2	1-0	2-3	0-0	0-1	0-0		1-0	1-1	2-0	1-1	1-0	0-1	3-1
Southampton	2-2	2-3	0-1	0-3	2-0	2-0	2-0	4-1	0-3	1-1	1-1	4-0	4-2		2-2	1-1	2-0	2-3	1-0	0-0
Stoke City	1-0	2-1	0-0	3-2	2-1	1-1	4-1	1-0	3-5	0-0	2-1	1-0	0-1	1-1		2-0	1-1	0-1	0-0	3-1
Sunderland	1-3	0-1	4-0	3-4	0-0	0-1	0-1	0-2	1-3	1-0	1-2	2-1	0-0	2-2	1-0		1-3	1-2	2-0	1-2
Swansea City	1-2	4-1	3-0	0-1	1-1	1-2	2-0	1-1	2-2	2-3	1-4	3-0	3-0	0-1	3-3	4-0		1-3	1-2	0-0
Tottenham Hotspur	0-1	3-0	1-0	1-1	2-0	1-0	3-1	1-0	0-5	1-5	2-2	0-1	2-0	3-2	3-0	5-1	1-0		1-1	0-3
West Bromwich Albion	1-1	2-2	3-3	1-1	2-0	1-1	1-1	1-1	1-1	2-3	0-3	1-0	0-2	0-1	1-2	3-0	0-2	3-3		1-0
West Ham United	1-3	0-0	2-0	0-3	0-1	2-3	3-0	2-1	1-2	1-3	0-2	1-3	2-0	3-1	0-1	0-0	2-0	2-0	3-3	
