team,Pld,W,D,L,GF,GA,GD,Pts,QR
MNC,38,27,5,6,102,37,65,86,champs_league
LIV,38,26,6,6,101,50,51,84,champs_league
CHE,38,25,7,6,71,27,44,82,champs_league
ARS,38,24,7,7,68,41,27,79,champs_league
EVE,38,21,9,8,61,39,22,72,europa_league
TOT,38,21,6,11,55,51,4,69,europa_league
MNU,38,19,7,12,64,43,21,64,
SOT,38,15,11,12,54,46,8,56,
STO,38,13,11,14,45,52,-7,50,
NEW,38,15,4,19,43,59,-16,49,
CPA,38,13,6,19,33,48,-15,45,
SWA,38,11,9,18,54,54,0,42,
WHU,38,11,7,20,40,51,-11,40,
SUN,38,10,8,20,41,60,-19,38,
AST,38,10,8,20,39,61,-22,38,
HUL,38,10,7,21,38,53,-15,37,
WBA,38,7,15,16,43,59,-16,36,
NOR,38,8,9,21,28,62,-34,33,relegation
FUL,38,9,5,24,40,85,-45,32,relegation
CAR,38,7,9,22,32,74,-42,30,relegation
